"Treatment","Sex","BrainRegion","MouseID","SlideNumber","Cluster","n","percentage"
"COLD","F","HYPO","MR284","s03","Ameboid",47,0.290123456790123
"COLD","F","HYPO","MR284","s03","Rod-Like",51,0.314814814814815
"COLD","F","HYPO","MR284","s03","Ramified",64,0.395061728395062
"COLD","F","HYPO","MR284","s04","Ameboid",68,0.330097087378641
"COLD","F","HYPO","MR284","s04","Rod-Like",57,0.276699029126214
"COLD","F","HYPO","MR284","s04","Ramified",81,0.393203883495146
"COLD","F","HYPO","MR284","s05","Ameboid",70,0.378378378378378
"COLD","F","HYPO","MR284","s05","Rod-Like",56,0.302702702702703
"COLD","F","HYPO","MR284","s05","Ramified",59,0.318918918918919
"COLD","F","HYPO","MR284","s06","Ameboid",64,0.374269005847953
"COLD","F","HYPO","MR284","s06","Rod-Like",58,0.339181286549708
"COLD","F","HYPO","MR284","s06","Ramified",49,0.286549707602339
"COLD","F","HYPO","MR284","s07","Ameboid",60,0.454545454545455
"COLD","F","HYPO","MR284","s07","Rod-Like",44,0.333333333333333
"COLD","F","HYPO","MR284","s07","Ramified",28,0.212121212121212
"COLD","F","HYPO","MR284","s08","Ameboid",51,0.333333333333333
"COLD","F","HYPO","MR284","s08","Rod-Like",62,0.405228758169935
"COLD","F","HYPO","MR284","s08","Ramified",40,0.261437908496732
"COLD","F","HYPO","MR284","s09","Ameboid",41,0.34453781512605
"COLD","F","HYPO","MR284","s09","Rod-Like",44,0.369747899159664
"COLD","F","HYPO","MR284","s09","Ramified",34,0.285714285714286
"COLD","F","HYPO","MR284","s10","Ameboid",55,0.407407407407407
"COLD","F","HYPO","MR284","s10","Rod-Like",44,0.325925925925926
"COLD","F","HYPO","MR284","s10","Ramified",36,0.266666666666667
"COLD","F","HYPO","MR284","s11","Ameboid",31,0.2
"COLD","F","HYPO","MR284","s11","Rod-Like",64,0.412903225806452
"COLD","F","HYPO","MR284","s11","Ramified",60,0.387096774193548
"COLD","F","HYPO","MR284","s12","Ameboid",7,0.127272727272727
"COLD","F","HYPO","MR284","s12","Rod-Like",20,0.363636363636364
"COLD","F","HYPO","MR284","s12","Ramified",28,0.509090909090909
"COLD","F","HYPO","MR290","s01","Ameboid",20,0.357142857142857
"COLD","F","HYPO","MR290","s01","Rod-Like",12,0.214285714285714
"COLD","F","HYPO","MR290","s01","Ramified",24,0.428571428571429
"COLD","F","HYPO","MR290","s02","Ameboid",21,0.265822784810127
"COLD","F","HYPO","MR290","s02","Rod-Like",19,0.240506329113924
"COLD","F","HYPO","MR290","s02","Ramified",39,0.493670886075949
"COLD","F","HYPO","MR290","s03","Ameboid",20,0.229885057471264
"COLD","F","HYPO","MR290","s03","Rod-Like",26,0.298850574712644
"COLD","F","HYPO","MR290","s03","Ramified",41,0.471264367816092
"COLD","F","HYPO","MR290","s04","Ameboid",15,0.168539325842697
"COLD","F","HYPO","MR290","s04","Rod-Like",28,0.314606741573034
"COLD","F","HYPO","MR290","s04","Ramified",46,0.51685393258427
"COLD","F","HYPO","MR290","s05","Ameboid",29,0.2265625
"COLD","F","HYPO","MR290","s05","Rod-Like",37,0.2890625
"COLD","F","HYPO","MR290","s05","Ramified",62,0.484375
"COLD","F","HYPO","MR290","s06","Ameboid",34,0.25
"COLD","F","HYPO","MR290","s06","Rod-Like",34,0.25
"COLD","F","HYPO","MR290","s06","Ramified",68,0.5
"COLD","F","HYPO","MR290","s07","Ameboid",42,0.260869565217391
"COLD","F","HYPO","MR290","s07","Rod-Like",46,0.285714285714286
"COLD","F","HYPO","MR290","s07","Ramified",73,0.453416149068323
"COLD","F","HYPO","MR290","s08","Ameboid",28,0.205882352941176
"COLD","F","HYPO","MR290","s08","Rod-Like",45,0.330882352941176
"COLD","F","HYPO","MR290","s08","Ramified",63,0.463235294117647
"COLD","F","HYPO","MR290","s09","Ameboid",22,0.158273381294964
"COLD","F","HYPO","MR290","s09","Rod-Like",55,0.39568345323741
"COLD","F","HYPO","MR290","s09","Ramified",62,0.446043165467626
"COLD","F","HYPO","MR290","s10","Ameboid",27,0.287234042553192
"COLD","F","HYPO","MR290","s10","Rod-Like",26,0.276595744680851
"COLD","F","HYPO","MR290","s10","Ramified",41,0.436170212765957
"COLD","F","HYPO","MR290","s11","Ameboid",15,0.185185185185185
"COLD","F","HYPO","MR290","s11","Rod-Like",24,0.296296296296296
"COLD","F","HYPO","MR290","s11","Ramified",42,0.518518518518518
"COLD","F","HYPO","MR290","s12","Ameboid",12,0.166666666666667
"COLD","F","HYPO","MR290","s12","Rod-Like",25,0.347222222222222
"COLD","F","HYPO","MR290","s12","Ramified",35,0.486111111111111
"COLD","F","PVN","MR138","s04","Ameboid",2,0.133333333333333
"COLD","F","PVN","MR138","s04","Rod-Like",3,0.2
"COLD","F","PVN","MR138","s04","Ramified",10,0.666666666666667
"COLD","F","PVN","MR138","s05","Ameboid",16,0.275862068965517
"COLD","F","PVN","MR138","s05","Rod-Like",6,0.103448275862069
"COLD","F","PVN","MR138","s05","Ramified",36,0.620689655172414
"COLD","F","PVN","MR138","s06","Ameboid",6,0.24
"COLD","F","PVN","MR138","s06","Rod-Like",2,0.08
"COLD","F","PVN","MR138","s06","Ramified",17,0.68
"COLD","F","PVN","MR139","s04","Ameboid",6,0.461538461538462
"COLD","F","PVN","MR139","s04","Rod-Like",2,0.153846153846154
"COLD","F","PVN","MR139","s04","Ramified",5,0.384615384615385
"COLD","F","PVN","MR139","s05","Ameboid",11,0.354838709677419
"COLD","F","PVN","MR139","s05","Rod-Like",6,0.193548387096774
"COLD","F","PVN","MR139","s05","Ramified",14,0.451612903225806
"COLD","F","PVN","MR139","s06","Ameboid",23,0.479166666666667
"COLD","F","PVN","MR139","s06","Rod-Like",7,0.145833333333333
"COLD","F","PVN","MR139","s06","Ramified",18,0.375
"COLD","F","PVN","MR196","s04","Ameboid",14,0.291666666666667
"COLD","F","PVN","MR196","s04","Rod-Like",5,0.104166666666667
"COLD","F","PVN","MR196","s04","Ramified",29,0.604166666666667
"COLD","F","PVN","MR196","s05","Ameboid",21,0.362068965517241
"COLD","F","PVN","MR196","s05","Rod-Like",12,0.206896551724138
"COLD","F","PVN","MR196","s05","Ramified",25,0.431034482758621
"COLD","F","PVN","MR198","s04","Ameboid",11,0.314285714285714
"COLD","F","PVN","MR198","s04","Rod-Like",10,0.285714285714286
"COLD","F","PVN","MR198","s04","Ramified",14,0.4
"COLD","F","PVN","MR198","s05","Ameboid",15,0.319148936170213
"COLD","F","PVN","MR198","s05","Rod-Like",8,0.170212765957447
"COLD","F","PVN","MR198","s05","Ramified",24,0.51063829787234
"COLD","F","PVN","MR284","s04","Ameboid",14,0.451612903225806
"COLD","F","PVN","MR284","s04","Rod-Like",4,0.129032258064516
"COLD","F","PVN","MR284","s04","Ramified",13,0.419354838709677
"COLD","F","PVN","MR284","s05","Ameboid",25,0.568181818181818
"COLD","F","PVN","MR284","s05","Rod-Like",9,0.204545454545455
"COLD","F","PVN","MR284","s05","Ramified",10,0.227272727272727
"COLD","F","PVN","MR290","s04","Ameboid",3,0.2
"COLD","F","PVN","MR290","s04","Rod-Like",5,0.333333333333333
"COLD","F","PVN","MR290","s04","Ramified",7,0.466666666666667
"COLD","F","PVN","MR290","s05","Ameboid",12,0.272727272727273
"COLD","F","PVN","MR290","s05","Rod-Like",7,0.159090909090909
"COLD","F","PVN","MR290","s05","Ramified",25,0.568181818181818
"COLD","M","ARC","MR140","s07","Ameboid",12,0.285714285714286
"COLD","M","ARC","MR140","s07","Rod-Like",6,0.142857142857143
"COLD","M","ARC","MR140","s07","Ramified",24,0.571428571428571
"COLD","M","ARC","MR140","s08","Ameboid",15,0.384615384615385
"COLD","M","ARC","MR140","s08","Rod-Like",11,0.282051282051282
"COLD","M","ARC","MR140","s08","Ramified",13,0.333333333333333
"COLD","M","ARC","MR140","s09","Ameboid",14,0.411764705882353
"COLD","M","ARC","MR140","s09","Rod-Like",10,0.294117647058824
"COLD","M","ARC","MR140","s09","Ramified",10,0.294117647058824
"COLD","M","ARC","MR140","s10","Ameboid",18,0.375
"COLD","M","ARC","MR140","s10","Rod-Like",13,0.270833333333333
"COLD","M","ARC","MR140","s10","Ramified",17,0.354166666666667
"COLD","M","ARC","MR141","s07","Ameboid",13,0.203125
"COLD","M","ARC","MR141","s07","Rod-Like",18,0.28125
"COLD","M","ARC","MR141","s07","Ramified",33,0.515625
"COLD","M","ARC","MR141","s08","Ameboid",24,0.352941176470588
"COLD","M","ARC","MR141","s08","Rod-Like",5,0.0735294117647059
"COLD","M","ARC","MR141","s08","Ramified",39,0.573529411764706
"COLD","M","ARC","MR141","s09","Ameboid",16,0.41025641025641
"COLD","M","ARC","MR141","s09","Rod-Like",4,0.102564102564103
"COLD","M","ARC","MR141","s09","Ramified",19,0.487179487179487
"COLD","M","ARC","MR141","s10","Ameboid",24,0.352941176470588
"COLD","M","ARC","MR141","s10","Rod-Like",20,0.294117647058824
"COLD","M","ARC","MR141","s10","Ramified",24,0.352941176470588
"COLD","M","ARC","MR197","s06","Ameboid",11,0.297297297297297
"COLD","M","ARC","MR197","s06","Rod-Like",9,0.243243243243243
"COLD","M","ARC","MR197","s06","Ramified",17,0.45945945945946
"COLD","M","ARC","MR197","s07","Ameboid",18,0.333333333333333
"COLD","M","ARC","MR197","s07","Rod-Like",15,0.277777777777778
"COLD","M","ARC","MR197","s07","Ramified",21,0.388888888888889
"COLD","M","ARC","MR197","s08","Ameboid",10,0.303030303030303
"COLD","M","ARC","MR197","s08","Rod-Like",9,0.272727272727273
"COLD","M","ARC","MR197","s08","Ramified",14,0.424242424242424
"COLD","M","ARC","MR197","s09","Ameboid",8,0.470588235294118
"COLD","M","ARC","MR197","s09","Rod-Like",1,0.0588235294117647
"COLD","M","ARC","MR197","s09","Ramified",8,0.470588235294118
"COLD","M","ARC","MR197","s10","Ameboid",7,0.269230769230769
"COLD","M","ARC","MR197","s10","Rod-Like",8,0.307692307692308
"COLD","M","ARC","MR197","s10","Ramified",11,0.423076923076923
"COLD","M","ARC","MR199","s06","Ameboid",12,0.272727272727273
"COLD","M","ARC","MR199","s06","Rod-Like",17,0.386363636363636
"COLD","M","ARC","MR199","s06","Ramified",15,0.340909090909091
"COLD","M","ARC","MR199","s07","Ameboid",17,0.23943661971831
"COLD","M","ARC","MR199","s07","Rod-Like",12,0.169014084507042
"COLD","M","ARC","MR199","s07","Ramified",42,0.591549295774648
"COLD","M","ARC","MR199","s08","Ameboid",16,0.355555555555556
"COLD","M","ARC","MR199","s08","Rod-Like",10,0.222222222222222
"COLD","M","ARC","MR199","s08","Ramified",19,0.422222222222222
"COLD","M","ARC","MR199","s09","Ameboid",23,0.511111111111111
"COLD","M","ARC","MR199","s09","Rod-Like",13,0.288888888888889
"COLD","M","ARC","MR199","s09","Ramified",9,0.2
"COLD","M","ARC","MR199","s10","Ameboid",18,0.5
"COLD","M","ARC","MR199","s10","Rod-Like",5,0.138888888888889
"COLD","M","ARC","MR199","s10","Ramified",13,0.361111111111111
"COLD","M","ARC","MR287","s06","Ameboid",18,0.545454545454545
"COLD","M","ARC","MR287","s06","Rod-Like",7,0.212121212121212
"COLD","M","ARC","MR287","s06","Ramified",8,0.242424242424242
"COLD","M","ARC","MR287","s07","Ameboid",23,0.359375
