"Treatment","Sex","BrainRegion","MouseID","Cluster","n","percentage"
"CON","M","HYPO","MR158","Rod-Like",364,0.249144421629021
"CON","M","HYPO","MR158","Ramified",674,0.461327857631759
"CON","M","HYPO","MR169","Ameboid",443,0.296916890080429
"CON","M","HYPO","MR169","Rod-Like",391,0.262064343163539
"CON","M","HYPO","MR169","Ramified",658,0.441018766756032
"CON","M","HYPO","MR172","Ameboid",387,0.263803680981595
"CON","M","HYPO","MR172","Rod-Like",402,0.274028629856851
"CON","M","HYPO","MR172","Ramified",678,0.462167689161554
"CON","M","HYPO","MR273","Ameboid",629,0.410039113428944
"CON","M","HYPO","MR273","Rod-Like",432,0.281616688396349
"CON","M","HYPO","MR273","Ramified",473,0.308344198174707
"CON","M","HYPO","MR274","Ameboid",629,0.419333333333333
"CON","M","HYPO","MR274","Rod-Like",403,0.268666666666667
"CON","M","HYPO","MR274","Ramified",468,0.312
"CON","M","PVN","MR157","Ameboid",43,0.457446808510638
"CON","M","PVN","MR157","Rod-Like",24,0.25531914893617
"CON","M","PVN","MR157","Ramified",27,0.287234042553192
"CON","M","PVN","MR158","Ameboid",21,0.323076923076923
"CON","M","PVN","MR158","Rod-Like",7,0.107692307692308
"CON","M","PVN","MR158","Ramified",37,0.569230769230769
"CON","M","PVN","MR169","Ameboid",32,0.395061728395062
"CON","M","PVN","MR169","Rod-Like",12,0.148148148148148
"CON","M","PVN","MR169","Ramified",37,0.45679012345679
"CON","M","PVN","MR172","Ameboid",18,0.285714285714286
"CON","M","PVN","MR172","Rod-Like",17,0.26984126984127
"CON","M","PVN","MR172","Ramified",28,0.444444444444444
"CON","M","PVN","MR273","Ameboid",30,0.461538461538462
"CON","M","PVN","MR273","Rod-Like",10,0.153846153846154
"CON","M","PVN","MR273","Ramified",25,0.384615384615385
"CON","M","PVN","MR274","Ameboid",43,0.48314606741573
"CON","M","PVN","MR274","Rod-Like",21,0.235955056179775
"CON","M","PVN","MR274","Ramified",25,0.280898876404494
