"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Macf1",0.000277873315538421,-1.54762167531526,0.122,0.307,1
"Eprs",0.0124443738467245,-1.5406807564532,0.067,0.171,1
"Sbf2",0.0454375924516498,-1.54021036893486,0.044,0.113,1
"Slc37a2",0.0138699277112933,-1.53911453376681,0.044,0.138,1
"Coro1b",0.0235775898576428,-1.53653604814108,0.067,0.156,1
"Kif21b",0.0231963181840297,-1.53483143207816,0.056,0.142,1
"Hif1a",0.00291622296742239,-1.5282248855803,0.1,0.237,1
"Ccng2",0.0374963640552539,-1.52783768358686,0.067,0.147,1
"Gtf2i",0.00942168454094178,-1.52418213044174,0.067,0.176,1
"Dpp8",0.0384262924217815,-1.51814467769202,0.033,0.102,1
"Gmip",0.0430423193620289,-1.5177079900894,0.056,0.129,1
"Cd2ap",0.0533710736109792,-1.51635319083508,0.056,0.124,1
"Eif4ebp2",0.0579437100640358,-1.51462739425588,0.089,0.16,1
"Stard8",0.0259693968544001,-1.51407864364241,0.044,0.126,1
"P4ha1",0.00417149989690665,-1.5120984586344,0.056,0.18,1
"Gba",0.0376867198250529,-1.50918268536081,0.078,0.158,1
"Mef2a",0.000823639386899821,-1.50064901185045,0.133,0.3,1
"Mtdh",1.30750787466915e-05,-1.48561564618874,0.178,0.422,0.191131501119136
"Cpsf6",0.0622980197322074,-1.48453245221624,0.1,0.172,1
"Ccnl1",0.0140755851652246,-1.48239711124262,0.044,0.138,1
"Naa40",0.0848853771815296,-1.48140484275135,0.044,0.101,1
"Cdk6",0.0424721003832546,-1.48109633125289,0.067,0.144,1
"Smap1",0.00829889834905933,-1.47872210700829,0.056,0.163,1
"Atp2c1",0.0216952212045429,-1.47498357131777,0.1,0.197,1
"Dynlt1f",0.0110057023503682,-1.47304954665343,0.111,0.223,1
"Safb",0.13553825977451,-1.47000774086474,0.067,0.117,1
"Gtpbp4",0.0116049579260051,-1.46705153334948,0.1,0.214,1
"Rftn1",0.0202639323385801,-1.46703164215701,0.056,0.145,1
"Wipf1",0.0319364718261293,-1.46669682966269,0.078,0.163,1
"Fubp1",0.02019804555568,-1.45522378492419,0.1,0.197,1
"Ing4",0.0340053009362548,-1.45358557115515,0.067,0.149,1
"Ganab",0.0240294982702609,-1.45298160399504,0.056,0.142,1
"R3hdm1",0.0449589515957722,-1.45180809957242,0.056,0.127,1
"Camk2d",0.00558754820596004,-1.45147807807199,0.089,0.214,1
"Tial1",0.0194023572783396,-1.44879781221614,0.1,0.199,1
"Colgalt1",0.00836967667066142,-1.44853171011233,0.122,0.241,1
"Nfia",0.134994198493134,-1.448245281172,0.056,0.104,1
"Rap2b",0.00286682445599176,-1.44756959084674,0.144,0.291,1
"Slc16a3",0.0716645489147754,-1.44364878164639,0.044,0.104,1
"Tra2a",0.0439410772047565,-1.44302838348861,0.056,0.129,1
"Copa",0.039614115554729,-1.44283107760589,0.067,0.145,1
"Dnajc13",0.0320685389916956,-1.43476783665099,0.044,0.122,1
