"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Smim10l1",0.0728635175958704,-0.378621125886868,0.181,0.123,1
"Dbf4",0.0731888222171993,-0.27539531064629,0.14,0.093,1
"Ube2r2",0.073936374712573,-0.254901787610516,0.301,0.216,1
"Ssfa2",0.075774467658848,-0.306057890115591,0.128,0.082,1
"Lrp6",0.0759101952315325,-1.35130284887015,0.106,0.138,1
"Zfp637",0.0763272652193175,-0.325660980221997,0.116,0.074,1
"Tuba1a",0.0763859385191267,-0.317538661963175,0.125,0.082,1
"Tlr7",0.076442661425186,-0.322070202974863,0.222,0.156,1
"Cnot1",0.0767390557178242,-0.366569177980468,0.228,0.16,1
"Hspb3",0.0767485868400464,-0.380012203199489,0.17,0.115,1
"Mrpl4",0.0771964405710206,-0.343685296776817,0.314,0.227,1
"Hsd17b11",0.0776088956894054,-0.254255813346374,0.163,0.112,1
"Zcchc9",0.0781128695264986,-0.331608845919118,0.14,0.093,1
"Cab39",0.0782466110627429,-0.298687426432167,0.15,0.1,1
"Fam91a1",0.0782702554222257,-0.295068602377742,0.196,0.138,1
"Fam192a",0.0784212070718765,-0.269113668460478,0.146,0.097,1
"Uap1l1",0.078489545703012,-0.266436631334096,0.273,0.201,1
"Lcorl",0.0785177574491948,-0.389872638172457,0.136,0.089,1
"Fxr1",0.0786451271151184,-0.366112867086361,0.218,0.149,1
"Eif4h",0.078725114644429,-0.307823205478941,0.278,0.197,1
"Kpna3",0.0787337447977666,-0.391658129054847,0.252,0.175,1
"Zc3h13",0.0792293045705496,-0.613707763852515,0.122,0.078,1
"Wwp1",0.0798800862634747,-1.12459255674379,0.175,0.201,1
"Eml4",0.0802985620011512,-0.440386048247648,0.257,0.182,1
"Fbxw4",0.0803867186845301,-0.558416219270523,0.253,0.182,1
"Aamdc",0.0815751146588294,-0.626399869337254,0.103,0.063,1
"Tmem164",0.0817828865925855,-0.321266850761489,0.12,0.078,1
"Ufl1",0.0818113162843893,-0.295886952923691,0.125,0.082,1
