"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pum2",0.0484658023619778,-0.804732690941563,0.133,0.23,1
"Slc40a1",0.0485195633885554,-0.910164362047736,0.133,0.224,1
"Tab2",0.0488243715208356,-1.56970440136411,0.078,0.153,1
"Zcchc6",0.0490223999692878,-1.01352804140176,0.044,0.113,1
"Sypl",0.0490545147714985,-0.808927782406967,0.167,0.264,1
"Birc6",0.0490551756057607,-0.831506753543521,0.178,0.278,1
"Cant1",0.0491489985632499,-2.06874718329499,0.044,0.11,1
"Ubl3",0.0493675643587396,-0.857928992296442,0.1,0.183,1
"Csf2ra",0.0494353095705973,-1.2825983850473,0.056,0.127,1
"Hist1h2ap",0.0495325793490742,-1.92051167758427,0.067,0.138,1
"Tanc2",0.0495533964359024,-1.34739940468545,0.044,0.113,1
"Suz12",0.0500139183699947,-1.06156717963134,0.067,0.144,1
"Zfand5",0.05007224482219,-1.0980689725026,0.167,0.251,1
"Nfkb1",0.0500892089645488,-1.28229760218837,0.044,0.113,1
"Acin1",0.0501599507226687,-1.35798720394626,0.078,0.154,1
"Slc7a8",0.0504853227675132,-0.850927705051389,0.133,0.221,1
"Dock4",0.0507073084462768,-1.31075312955137,0.1,0.176,1
"Rnf4",0.0507134915722434,-1.57123403248484,0.044,0.111,1
"Tnfrsf1b",0.0509878775148349,-1.73056012007981,0.044,0.111,1
"Lipa",0.0512535360067567,-1.05744475899712,0.178,0.26,1
"Npnt",0.0520367901283549,-1.63012893927847,0.044,0.11,1
"Pdia3",0.0521009755124296,-0.713769921943688,0.333,0.427,1
"Dnm2",0.0521043760227982,-1.03268644036066,0.1,0.183,1
"Sec62",0.0526058873526382,-0.811402280420977,0.189,0.28,1
"Cd2ap",0.0533710736109792,-1.51635319083508,0.056,0.124,1
"Rtn4",0.0536288033219156,-0.81153231186881,0.256,0.355,1
"Lrpap1",0.0541641197181532,-1.4020473465175,0.078,0.151,1
"Mapk1",0.0541950493968561,-1.38116509491319,0.067,0.138,1
"Tm9sf3",0.054223770346967,-0.629774288010523,0.344,0.434,1
"Uri1",0.0542335079602378,-1.31706210983146,0.044,0.111,1
"Fndc3a",0.0543286096539693,-1.64190180165178,0.056,0.124,1
"Atp2a2",0.0555477042929674,-0.654769612973346,0.167,0.269,1
"Ccnd1",0.0561868652663795,-1.36104340555311,0.067,0.138,1
"Exosc4",0.0562453909679011,-1.6661609807179,0.067,0.136,1
"Nucks1",0.0562675699357491,-0.628980106137022,0.211,0.311,1
"Soat1",0.0563879104585328,-0.765179895837612,0.167,0.259,1
"Mpeg1",0.0568186482784122,-0.5335336598774,0.478,0.553,1
"Itgb5",0.0568843773483578,-0.399418947126289,0.356,0.474,1
"Ccar1",0.0571980455347719,-1.05300487299358,0.067,0.14,1
"Eif4ebp2",0.0579437100640358,-1.51462739425588,0.089,0.16,1
"Caprin1",0.0581256025088639,-0.743772472126648,0.244,0.339,1
"Sltm",0.0584495185842453,-1.30423501231327,0.056,0.124,1
"Dock2",0.0588552530927333,-1.60659215230069,0.089,0.16,1
"Adam15",0.0589307859374248,-0.810431939126536,0.144,0.232,1
"2900097C17Rik",0.0593844766044355,-0.803555091572311,0.089,0.169,1
"Ptbp3",0.0597671518437825,-0.890697129858804,0.278,0.35,1
"Ccdc59",0.0599694515524292,-1.2341926724418,0.056,0.122,1
"Dhx15",0.0608042101485252,-1.00913973405358,0.089,0.165,1
"Kras",0.0617777771412434,-0.833261121776623,0.178,0.266,1
"Mtus1",0.0622370993296419,-1.05044858266716,0.067,0.138,1
"Cpsf6",0.0622980197322074,-1.48453245221624,0.1,0.172,1
"Parp1",0.0623617532661486,-1.08905020844135,0.056,0.124,1
"Wwp1",0.0628977291217638,-1.56901733873114,0.089,0.16,1
"Cadm1",0.0630147352558501,-0.621190545537479,0.156,0.25,1
"Sec22b",0.0630429426686788,-1.23390695987654,0.056,0.122,1
"Tgs1",0.0633026273248036,-0.999294485380982,0.1,0.18,1
"Pigx",0.0634512973083362,-1.16887013526175,0.056,0.124,1
