categories,Cell_ID,ID,subject,group,treatment,tissue,region,Cell,cell_positions,Soma_area,Soma_perimeter,Soma_circularity,Soma_compactness,Soma_orientation,Soma_feret_diameter,Soma_eccentricity,Soma_aspect_ratio,End_Points,Junctions,Branches,Initial_Points,Total_Branches_Length,ratio_branches,Convex_Hull_area,Convex_Hull_perimeter,Convex_Hull_compactness,Fractal_dimension,Convex_Hull_eccentricity,Convex_Hull_feret_diameter,Convex_Hull_orientation,Cell_area,Cell_perimeter,Cell_circularity,Cell_compactness,Cell_orientation,Cell_feret_diameter,Cell_eccentricity,Cell_aspect_ratio,Sholl_max_distance,Sholl_crossing_processes,Sholl_circles,Cell_solidity,Cell_convexity,UMAP_1,UMAP_2,Clusters,Cluster_Color
COLD_F,C7_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,7,"(1101, 1199, 1245, 1307)",3552,403.4213544,0.274261631,8.8046900870000009,74.62374878,89.21309662,0.774319784,1.170731707,11,5,15,7,52,1.571428571,9930,406.2741666,24.44162296,-1.158472846,0.555928621,149.9873352,23.8387413,5127,750.4650718,0.114396362,6.831763653,23.8387413,149.9873352,0.616332195,1.333333333,110.1362792,23,9,0.516314199,1.847188755,13.34359,1.2349471,3,"59,235,255"
COLD_F,C8_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,8,"(3020, 1272, 3112, 1440)",1764,247.3969684,0.362176025,7.130240971,90,72,0.567996112,0.671232877,8,3,11,6,80,1.333333333,9543,445.1198376,21.43917029,-1.06107249,0.430641109,159.2313538,24.44395447,3782,629.9970355,0.11974417,6.003202852,24.50740623,159.1401825,0.624187374,0.547619048,132.9135057,23,11,0.396311432,1.415342526,11.358494,9.851651,3,"59,235,255"
COLD_F,C9_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,9,"(1161, 1306, 1228, 1414)",2844,247.3553385,0.584113011,11.49762935,90,85,0.401075995,0.523255814,5,0,5,6,23,0.833333333,5335,298.5512965,17.86962597,-1.003757489,0.539556834,107.6858139,75.96376038,3763,408.333041,0.283605753,9.215516803,75.96376038,107.2007446,0.524796725,0.62037037,73.57309291,13,5,0.705342081,1.367714848,11.395809,11.091275,3,"59,235,255"
COLD_F,C10_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,10,"(1297, 1355, 1435, 1510)",3519,383.8233746,0.300169313,9.168279559,74.84593201,99.43841553,0.69285794,0.941860465,11,9,26,17,112,0.647058824,9667,464.8427098,20.79628183,-1.116083036,0.385221025,193.3261414,42.27368927,6051,742.0386642,0.138096906,8.154561604,42.27368546,193.2589111,0.361590211,0.890322581,129.4024729,31,11,0.625943933,1.596322043,12.89028,-2.2806554,4,"119,221,119"
COLD_F,C11_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,11,"(1365, 1458, 1478, 1703)",3293,371.5807345,0.299705848,8.86213868,90,119,0.357864555,0.408333333,9,6,17,9,123,1,19315,632.9188277,30.51734149,-1.272649855,0.378045291,235.7696533,10.45990944,6359,991.9036698,0.081219385,6.410904802,10.45991039,235.2250061,0.458613252,0.46122449,156.1697794,36,14,0.32922599,1.567189387,12.775602,-3.5984347,4,"119,221,119"
COLD_F,C12_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,12,"(1379, 1715, 1485, 1876)",2593,272.8944414,0.437545278,9.501842496,19.90375137,74.23236084,0.752623556,0.871794872,11,10,24,7,110,1.571428571,12156,458.5340515,26.51057203,-1.197740007,0.601004223,163.1709595,81.15818787,5097,785.5777681,0.103787758,6.488218235,81.15818787,162.8635559,0.532738197,0.658385093,105.6882207,33,8,0.419299112,1.713237578,13.287074,1.4344505,3,"59,235,255"
COLD_F,C13_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,13,"(1304, 1772, 1406, 1927)",3952,481.5218583,0.214187828,8.207311738,9.462323189,102.913765,0.664620666,0.804123711,9,5,15,11,60,0.818181818,11078,439.705624,25.19412852,-1.135218439,0.613890566,145.4091034,81.02737427,5750,751.0092266,0.128111219,7.656363992,81.02737427,145.0971832,0.664640366,0.658064516,98.4073168,27,8,0.519046759,1.707981853,13.167602,-1.3854902,4,"119,221,119"
COLD_F,C14_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,14,"(1498, 1913, 1605, 1996)",2308,291.9238794,0.340334852,7.906170625,50.57219696,98.64731598,0.411172028,1.380952381,5,0,5,5,18,1,4705,298.6761848,15.75284619,-1.013370939,0.441075359,113.0925674,51.95296097,2897,383.3036032,0.247783598,7.557977478,51.95296097,113.0925674,0.416791897,1.289156627,71.84010022,11,5,0.615727949,1.283341702,2.7138875,13.595802,1,"240,200,200"
COLD_F,C1_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,1,"(698, 1274, 776, 1381)",1969,190.225396,0.683783452,10.3508787,90,57,0.847655895,0.810344828,6,1,6,4,34,1.5,5164,291.0193331,17.74452558,-0.932138201,0.772598161,85.2148056,47.60256577,3015,394.4751761,0.243476933,7.643066491,47.6754303,85.02436829,0.632440139,0.728971963,85.44588931,11,6,0.583849729,1.355494743,4.3433237,13.9945965,2,"231,221,119"
COLD_F,C2_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,2,"(1600, 1384, 1701, 1500)",2419,262.2253952,0.442075285,9.2248883759999991,90,61,0.648566877,1.319148936,7,7,18,9,78,0.777777778,7294,360.2914137,20.24472336,-1.094951136,0.573881388,130.756485,75.3236084,4013,507.2863572,0.195962359,7.910719347,75.31121826,130.7662811,0.595759582,0.870689655,102.2007828,21,8,0.550178229,1.407989028,12.412716,8.665055,3,"59,235,255"
COLD_F,C3_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,3,"(1343, 1390, 1417, 1451)",1725,218.0832599,0.455778991,7.909823067,90,53,0.620762053,1.317073171,4,0,5,7,20,0.571428571,2875,218.5512971,13.15480639,-0.834062906,0.521261242,84.11468506,23.62937927,2393,286.4924206,0.366375386,8.352751516,23.74949455,83.73301697,0.516083118,1.213114754,49.81967483,7,3,0.832347826,1.310870374,-1.7084538,10.120385,1,"240,200,200"
COLD_F,C4_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,4,"(1146, 1424, 1218, 1530)",1526,200.5685412,0.476692991,7.608371637,39.40066147,65.68173218,0.524494665,0.761904762,5,0,5,7,35,0.714285714,4180,272.9188253,15.31590939,-0.929901418,0.509892807,96.3416748,34.99202347,2331,389.747254,0.192835065,5.980799033,34.82448959,96.47420502,0.549882857,0.679245283,76.32168761,13,6,0.557655502,1.428070246,-1.5721568,9.2775010000000009,1,"240,200,200"
COLD_F,C5_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,5,"(1638, 1489, 1731, 1592)",3387,276.7523073,0.555702768,12.23838035,90,71,0.876882511,0.986111111,7,1,7,6,26,1.166666667,5810,318.2914104,18.25371282,-1.042863922,0.840224858,95.47644806,28.44292831,4281,428.960458,0.292361762,9.979940854,28.44292831,94.67043304,0.830017904,0.902912621,78.27586544,11,6,0.736833046,1.347697248,13.309836,6.7718325,3,"59,235,255"
COLD_F,C6_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,6,"(1030, 1499, 1111, 1602)",1460,200.509666,0.456343735,7.281444478,23.74949455,82.4881897,0.273546226,0.7,3,1,4,5,26,0.6,3147,288.4335467,10.91065875,-0.919845799,0.234263741,124.9076538,29.35775566,2111,319.0193319,0.26065382,6.617153848,29.31000328,124.5101166,0.229811727,0.786407767,70.80254233,10,5,0.670797585,1.106041012,-2.659193,6.220694,1,"240,200,200"
COLD_F,C7_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,7,"(2649, 1540, 2717, 1648)",2534,239.6396086,0.55449709,10.5742119,90,83,0.44273018,0.571428571,4,0,3,4,20,1,4434,280.0487691,15.83295657,-0.963215637,0.555280626,97.07404327,24.22774506,3155,329.6051184,0.364939887,9.572060092,24.05735016,96.79260254,0.590644002,0.62962963,70.49428661,9,5,0.711547136,1.17695614,5.8657827,14.623348,2,"231,221,119"
COLD_F,C8_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,8,"(2583, 1575, 2664, 1662)",2198,213.3553385,0.606778975,10.30206235,0,59.99999237,0.835460441,1.150943396,4,0,4,4,21,1,4233,272.2497826,15.54822178,-0.922976725,0.842947173,80.40717316,39.8055687,2887,341.2203432,0.311592372,8.460808557,39.90788269,80.08283234,0.759397171,0.931034483,71.50524456,10,5,0.682022206,1.253335595,2.2531428,13.601626,1,"240,200,200"
COLD_F,C9_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,9,"(1673, 1630, 1735, 1708)",1940,182.6690466,0.730603367,10.62029958,90,57,0.686010936,0.724137931,5,1,6,4,17,1.25,3110,219.7644984,14.15151229,-0.845843215,0.787022401,68,36.86989594,2552,250.2497811,0.512086258,10.19781112,37.09283829,67.74267578,0.739164422,0.794871795,52.20153254,7,3,0.820578778,1.138717959,-1.1902364,12.0700245,1,"240,200,200"
COLD_F,C10_s04_MR139_COLD_F_PVN,PVN_MR139_COLD_F_s04,PVN,MR139,COLD,F,s04,10,"(2619, 1669, 2704, 1837)",3634,353.9238794,0.36456507,10.2677446,4.573921204,133.17453,0.396340551,0.351145038,6,4,11,5,33,1.2,7829,423.5046129,18.48622131,-1.046062839,0.381625752,180.1720886,19.88516426,4825,524.9015821,0.220065224,9.192199384,19.93253517,179.919632,0.387221321,0.505952381,104.6544579,18,8,0.616298378,1.23942353,13.704876,2.8511047,3,"59,235,255"
